root,Hips
hips,Hips
spine,Spine
spine1,Spine
spine2,Spine1
spine3,Spine1
neck,Neck
neck1,
neckup,
head,Head
right shoulder,RightShoulder
right arm,RightArm
right forearm,RightForeArm
right hand,RightHand
right hand thumb,RightHandThumb1
right hand middle,RightHandMiddle1
left shoulder,LeftShoulder
left arm,LeftArm
left forearm,LeftForeArm
left hand,LeftHand
left hand thumb,LeftHandThumb1
left hand middle,LeftHandMiddle1
right up leg,Hips_RightUpLeg
right leg,Hips_RightLeg
right foot,RightFoot
right fore foot,
right toe base,RightToeBase
left up leg,Hips_LeftUpLeg
left leg,Hips_LeftLeg
left foot,LeftFoot
left fore foot,
left toe base,LeftToeBase
